post_id,user_demographic,language_variant,content_type,report_count,follower_tier,account_age_days,post_length_chars,has_media,platform,flagged,action_taken
1,minority_immigrant,standard_english,opinion_post,3,>10k,57,93,1,mobile_app,1,removed
2,minority_immigrant,non_native_english,political_comment,1,100-1k,124,199,1,mobile_app,1,removed
3,minority_racial,aave,news_share,1,<100,183,150,1,web,0,none
4,minority_racial,standard_english,humor,3,>10k,761,161,0,web,0,none
5,minority_racial,aave,opinion_post,2,100-1k,710,246,1,api,1,warning_issued
6,minority_racial,aave,news_share,1,100-1k,889,279,0,web,0,none
7,minority_lgbtq,standard_english,community_update,2,>10k,876,148,1,web,0,none
8,minority_immigrant,non_native_english,opinion_post,0,100-1k,551,239,1,mobile_app,0,none
9,majority,standard_english,personal_story,2,<100,1043,77,0,web,0,none
10,minority_racial,aave,humor,0,>10k,231,237,1,mobile_app,1,shadow_banned
11,majority,standard_english,news_share,0,>10k,375,275,0,mobile_app,0,none
12,majority,standard_english,opinion_post,1,<100,1143,186,0,mobile_app,0,none
13,minority_racial,aave,community_update,1,<100,319,73,0,web,1,shadow_banned
14,minority_racial,standard_english,political_comment,1,<100,658,166,1,web,1,warning_issued
15,minority_racial,aave,political_comment,2,<100,111,235,1,mobile_app,1,removed
16,majority,standard_english,news_share,0,100-1k,1336,158,1,web,0,none
17,minority_racial,aave,news_share,1,100-1k,687,110,0,web,0,none
18,minority_immigrant,non_native_english,political_comment,1,<100,760,240,0,api,0,none
19,majority,standard_english,news_share,0,100-1k,794,233,1,web,0,none
20,majority,standard_english,opinion_post,2,>10k,1668,205,0,api,0,none
21,minority_immigrant,standard_english,humor,0,>10k,810,85,0,web,0,none
22,minority_racial,aave,news_share,3,>10k,268,255,1,web,1,removed
23,majority,standard_english,political_comment,0,>10k,1242,208,1,mobile_app,0,none
24,majority,standard_english,political_comment,1,>10k,1761,31,0,api,0,none
25,majority,standard_english,personal_story,1,<100,719,235,1,web,0,none
26,minority_immigrant,standard_english,personal_story,2,1k-10k,854,164,0,api,0,none
27,minority_racial,standard_english,personal_story,3,100-1k,278,29,0,mobile_app,1,warning_issued
28,minority_immigrant,standard_english,humor,0,100-1k,249,39,1,web,0,none
29,majority,standard_english,political_comment,2,>10k,1524,168,1,api,0,none
30,minority_racial,aave,opinion_post,1,100-1k,504,70,1,api,0,none
31,minority_racial,aave,political_comment,0,<100,155,23,1,mobile_app,1,warning_issued
32,minority_immigrant,standard_english,opinion_post,1,1k-10k,830,126,0,mobile_app,0,none
33,minority_racial,aave,personal_story,3,<100,68,206,0,mobile_app,0,none
34,minority_racial,aave,humor,1,>10k,853,176,1,mobile_app,1,shadow_banned
35,majority,standard_english,political_comment,1,1k-10k,1071,119,0,api,0,none
36,majority,standard_english,personal_story,0,1k-10k,266,116,0,web,0,none
37,minority_racial,aave,personal_story,3,>10k,98,254,0,web,1,shadow_banned
38,majority,standard_english,personal_story,1,1k-10k,1029,136,1,api,1,removed
39,majority,standard_english,community_update,0,<100,693,189,0,mobile_app,1,warning_issued
40,majority,standard_english,political_comment,0,<100,686,51,1,web,0,none
41,minority_racial,aave,news_share,2,<100,795,103,0,web,1,warning_issued
42,majority,standard_english,opinion_post,2,1k-10k,1233,250,0,mobile_app,1,shadow_banned
43,minority_lgbtq,queer_vernacular,community_update,2,100-1k,446,225,0,mobile_app,0,none
