applicant_id,applicant_race,gender,age_group,zip_type,credit_score,annual_income,debt_to_income,employment_years,loan_amount,loan_purpose,neighborhood_risk_score,approved,interest_rate_offered
1,White,Female,31-40,urban_affluent,662,53253,0.18,11,150000,home_purchase,18,1,8.15
2,White,Male,41-55,urban_affluent,666,58818,0.29,3,75000,refinance,33,1,8.03
3,Asian,Male,31-40,suburban,780,92447,0.38,13,50000,debt_consolidation,21,1,8.17
4,Black,Female,22-30,urban_low_income,662,95157,0.25,13,50000,refinance,66,0,
5,White,Female,56+,urban_affluent,674,77887,0.34,5,150000,debt_consolidation,36,1,8.62
6,White,Male,31-40,urban_affluent,720,48189,0.17,5,75000,refinance,31,0,
7,White,Male,56+,suburban,656,59146,0.17,4,50000,refinance,37,1,8.98
8,White,Male,31-40,rural,703,82351,0.16,9,200000,home_improvement,32,1,8.06
9,Asian,Male,41-55,urban_affluent,765,64896,0.26,8,75000,home_purchase,27,1,7.99
10,Asian,Female,31-40,suburban,752,58755,0.31,13,150000,home_purchase,42,1,8.95
11,Black,Male,56+,suburban,701,85219,0.42,12,250000,debt_consolidation,36,0,
12,White,Male,31-40,suburban,646,69577,0.42,3,150000,refinance,27,1,8.30
13,Asian,Male,41-55,suburban,758,75552,0.44,1,150000,home_purchase,45,0,
14,Black,Male,22-30,suburban,737,98664,0.3,7,100000,home_purchase,29,0,
15,White,Female,41-55,suburban,767,102398,0.42,10,150000,refinance,39,1,8.54
16,Black,Female,31-40,urban_low_income,700,36523,0.34,14,200000,debt_consolidation,63,0,
17,Asian,Male,56+,urban_affluent,756,111414,0.17,14,250000,home_improvement,20,0,
18,Black,Female,41-55,urban_low_income,686,73548,0.35,6,200000,debt_consolidation,57,0,
19,White,Female,22-30,suburban,651,80681,0.38,7,75000,debt_consolidation,39,1,8.34
20,Black,Male,41-55,suburban,715,109890,0.41,14,250000,home_purchase,20,0,
21,White,Male,41-55,urban_affluent,638,87567,0.26,12,200000,home_purchase,24,1,7.60
22,White,Female,41-55,rural,716,57538,0.35,2,200000,refinance,30,1,7.98
23,White,Female,56+,rural,639,116331,0.2,8,50000,debt_consolidation,52,1,8.16
24,White,Female,31-40,suburban,624,96154,0.24,15,50000,refinance,33,1,7.98
25,White,Female,56+,suburban,667,72384,0.3,3,250000,home_improvement,35,1,8.41
26,Black,Male,56+,urban_low_income,664,112199,0.21,1,150000,home_purchase,58,0,
27,Asian,Male,22-30,suburban,671,75950,0.37,4,50000,home_purchase,26,1,7.68
28,Black,Female,22-30,urban_low_income,715,62571,0.33,12,100000,home_improvement,75,0,
29,Black,Female,56+,urban_low_income,752,66373,0.2,8,150000,refinance,61,0,
30,Black,Male,31-40,urban_low_income,643,61499,0.42,13,250000,debt_consolidation,89,0,
31,Black,Male,22-30,urban_low_income,694,96618,0.2,13,75000,debt_consolidation,67,0,
32,White,Male,22-30,rural,668,40583,0.27,1,75000,debt_consolidation,44,1,8.96
33,Hispanic,Male,31-40,rural,709,89441,0.16,9,150000,home_improvement,55,1,10.22
34,White,Female,22-30,suburban,682,51031,0.29,4,100000,refinance,21,1,8.47
35,White,Female,56+,suburban,751,87823,0.18,10,75000,refinance,37,1,8.07
36,White,Male,22-30,urban_affluent,751,90199,0.27,13,150000,debt_consolidation,32,1,8.91
37,Asian,Male,22-30,urban_affluent,674,116468,0.37,8,150000,refinance,35,0,
38,Black,Male,22-30,urban_low_income,687,92023,0.31,3,250000,home_improvement,90,0,
39,Black,Male,31-40,urban_low_income,634,91141,0.22,12,150000,home_improvement,90,0,
40,Asian,Male,41-55,urban_affluent,624,46370,0.22,6,150000,refinance,40,1,7.52
41,Black,Female,56+,suburban,631,52095,0.43,12,200000,home_improvement,41,0,
42,Black,Female,41-55,urban_low_income,649,63178,0.39,11,150000,debt_consolidation,89,0,
43,Black,Male,31-40,suburban,656,52082,0.21,11,150000,home_improvement,38,1,9.65
44,Hispanic,Female,22-30,urban_low_income,702,57868,0.33,3,50000,home_improvement,67,0,
45,Black,Male,56+,urban_low_income,677,51026,0.26,10,250000,home_improvement,77,0,
46,White,Male,41-55,suburban,702,114695,0.43,1,150000,debt_consolidation,28,1,8.84
47,White,Female,31-40,rural,738,38439,0.36,1,250000,home_purchase,37,1,7.66
48,White,Female,22-30,urban_affluent,683,79425,0.19,15,250000,home_purchase,22,1,8.45
49,White,Female,56+,suburban,622,84146,0.33,6,150000,home_improvement,33,1,8.19
50,Black,Male,22-30,suburban,775,79929,0.32,15,150000,home_purchase,41,0,
51,White,Male,41-55,suburban,727,47129,0.27,4,150000,debt_consolidation,41,1,7.67
52,Black,Female,56+,urban_low_income,705,104473,0.31,12,250000,debt_consolidation,73,0,
53,White,Female,56+,rural,737,38195,0.27,3,150000,home_purchase,34,1,8.35
54,Asian,Male,56+,suburban,757,116584,0.26,3,200000,debt_consolidation,34,0,
55,White,Female,41-55,urban_affluent,728,42212,0.43,7,200000,debt_consolidation,34,1,7.87
56,White,Female,56+,rural,726,109009,0.28,11,100000,home_improvement,40,1,8.57
57,White,Female,41-55,urban_affluent,734,100888,0.25,2,100000,refinance,18,1,8.98
58,White,Male,31-40,suburban,699,55727,0.17,9,75000,refinance,43,1,8.89
59,Hispanic,Male,22-30,suburban,665,69344,0.44,9,50000,debt_consolidation,42,0,
60,Black,Female,56+,urban_low_income,729,52194,0.31,1,75000,home_purchase,74,1,10.40
61,Black,Male,56+,urban_low_income,696,107049,0.2,10,200000,refinance,57,0,
62,Black,Male,56+,suburban,668,113304,0.22,1,150000,refinance,24,0,
63,White,Female,31-40,suburban,658,89764,0.21,9,50000,home_improvement,34,1,8.66
64,White,Female,56+,rural,773,49517,0.3,2,75000,debt_consolidation,55,1,8.26
65,Hispanic,Male,22-30,suburban,710,93934,0.3,15,150000,home_purchase,32,1,10.63
66,White,Male,31-40,rural,630,109696,0.34,15,250000,refinance,46,1,7.71
67,White,Male,41-55,rural,769,84341,0.24,5,200000,refinance,55,1,7.71
68,Hispanic,Female,41-55,suburban,658,96977,0.44,6,75000,refinance,30,0,
69,Asian,Male,31-40,urban_affluent,629,65171,0.15,15,100000,refinance,21,0,
70,Black,Female,41-55,urban_low_income,746,54999,0.4,14,200000,debt_consolidation,55,0,
